"SKU","Cód. de Barras (EAN)","Descripción","Marca","Categoría","Subcategoría","UN","Ubicación","Stock Actual","Stock Mínimo","Stock Máximo","Lote","Fecha de Fabricación","Fecha de Vencimiento","Costo Unitario","Precio de Venta Unitario","Proveedor Principal","Tiempo de Reposición","","","","","","","",""
"MER-029","7891000000029","Edulcorante Sucralosa 80ml","Splenda","Abarrotes","Edulcorantes","UN","Pasillo 5","80","25","150","L-202629","4/20/2026","4/20/2028","7","10.9","Heartland FVG","4 días","","","","","","","",""
"MER-030","7891000000030","Café Tostado y Molido 500g","Sello Rojo","Abarrotes","Cafés","UN","Pasillo 5","250","80","500","L-202630","6/1/2026","6/1/2027","12.5","17.9","Nutresa","3 días","","","","","","","",""
"MER-031","7891000000031","Café Tostado y Molido 500g","Juan Valdez","Abarrotes","Cafés","UN","Pasillo 5","220","80","450","L-202631","6/5/2026","6/5/2027","13","18.5","Procafecol","3 días","","","","","","","",""
"MER-032","7891000000032","Café Soluble Tradicional 50g","Nescafé","Abarrotes","Cafés","UN","Pasillo 5","60","20","120","L-202632","5/10/2026","5/10/2028","5.5","8.5","Nestlé","4 días","","","","","","","",""
"MER-033","7891000000033","Filtro de Papel para Café 30 un","Melitta","Abarrotes","Accesorios Café","UN","Pasillo 5","100","30","200","L-202633","4/15/2026","Indeterminado","3","4.99","Melitta","3 días","","","","","","","",""
"MER-034","7891000000034","Galleta Rellena Chocolate 130g","Oreo","Abarrotes","Galletas","UN","Pasillo 6","150","50","300","L-202634","5/1/2026","2/1/2027","1.8","2.99","Mondelez","4 días","","","","","","","",""
"MER-035","7891000000035","Galleta Rellena 130g","Emperador","Abarrotes","Galletas","UN","Pasillo 6","140","50","300","L-202635","5/5/2026","2/5/2027","1.7","2.89","Gamesa","4 días","","","","","","","",""
"MER-036","7891000000036","Galleta Salada 200g","Ritz","Abarrotes","Galletas","UN","Pasillo 6","180","60","400","L-202636","5/10/2026","1/10/2027","2.5","3.99","Mondelez","4 días","","","","","","","",""
"MER-037","7891000000037","Galleta Tipo María / Maicena 200g","Ducales","Abarrotes","Galletas","UN","Pasillo 6","160","60","350","L-202637","5/15/2026","1/15/2027","2.3","3.8","Noel","4 días","","","","","","","",""
"MER-038","7891000000038","Leche Condensada 395g","La Lechera","Abarrotes","Enlatados y Dulces","UN","Pasillo 7","200","80","500","L-202638","6/1/2026","6/1/2027","5.8","8.49","Nestlé","4 días","","","","","","","",""
"MER-039","7891000000039","Crema de Leche / Media Crema 200g","Nestlé","Abarrotes","Enlatados y Dulces","UN","Pasillo 7","250","100","600","L-202639","6/5/2026","6/5/2027","3.2","4.99","Nestlé","4 días","","","","","","","",""
"MER-040","7891000000040","Maíz Dulce en Grano enlatado 170g","Herdez","Abarrotes","Enlatados","UN","Pasillo 7","150","50","350","L-202640","5/10/2026","5/10/2028","2.1","3.5","Grupo Herdez","4 días","","","","","","","",""
"BEB-041","7892000000041","Refresco de Cola 2L","Coca-Cola","Bebidas","Refrescos y Gaseosas","UN","Pasillo 8","300","100","800","L-202641","6/1/2026","12/1/2026","6.5","9.5","Femsa","2 días","","","","","","","",""
"BEB-042","7892000000042","Refresco Sabor Manzana/Uva 2L","Postobón","Bebidas","Refrescos y Gaseosas","UN","Pasillo 8","250","80","700","L-202642","6/5/2026","12/5/2026","5.8","8.49","Postobón","2 días","","","","","","","",""
"BEB-043","7892000000043","Refresco de Naranja 2L","Fanta","Bebidas","Refrescos y Gaseosas","UN","Pasillo 8","150","50","400","L-202643","6/10/2026","12/10/2026","5.5","8.29","Femsa","2 días","","","","","","","",""
"BEB-044","7892000000044","Refresco de Cola Cero 2L","Coca-Cola","Bebidas","Refrescos y Gaseosas","UN","Pasillo 8","120","40","300","L-202644","6/15/2026","12/15/2026","6.5","9.5","Femsa","2 días","","","","","","","",""
"BEB-045","7892000000045","Refresco de Limón 2L","Sprite","Bebidas","Refrescos y Gaseosas","UN","Pasillo 8","100","30","250","L-202645","5/20/2026","11/20/2026","5.5","8.29","Femsa","2 días","","","","","","","",""
"BEB-046","7892000000046","Jugo de Uva / Durazno 1L","Jumex","Bebidas","Jugos","UN","Pasillo 8","80","25","200","L-202646","5/1/2026","5/1/2027","14","21.9","Grupo Jumex","5 días","","","","","","","",""
"BEB-047","7892000000047","Jugo de Naranja 1L","Florida 7","Bebidas","Jugos Refrigerados","UN","Refrigerador 1","50","20","120","L-202647","6/10/2026","7/10/2026","9.5","14.9","Florida","3 días","","","","","","","",""
"BEB-048","7892000000048","Néctar de Durazno / Melocotón 1L","Del Valle","Bebidas","Jugos en Caja","UN","Pasillo 8","100","40","300","L-202648","5/15/2026","5/15/2027","4.8","7.49","Femsa","4 días","","","","","","","",""
"BEB-049","7892000000049","Néctar Variado 1L","Watt's","Bebidas","Jugos en Caja","UN","Pasillo 8","120","40","300","L-202649","5/20/2026","5/20/2027","4.5","6.99","CCU","4 días","","","","","","","",""
"BEB-050","7892000000050","Jugo en Polvo Uva 25g","Tang","Bebidas","Jugos en Polvo","UN","Pasillo 8","400","150","1000","L-202650","6/1/2026","6/1/2027","0.8","1.35","Mondelez","3 días","","","","","","","",""
"BEB-051","7892000000051","Agua Mineral sin Gas 1,5L","Bonafont","Bebidas","Aguas","UN","Pasillo 9","300","100","800","L-202651","6/5/2026","6/5/2027","1.5","2.9","Danone","2 días","","","","","","","",""
"BEB-052","7892000000052","Agua Mineral con Gas 1,5L","Ciel","Bebidas","Aguas","UN","Pasillo 9","150","50","400","L-202652","6/10/2026","6/10/2027","1.6","2.99","Femsa","2 días","","","","","","","",""
"BEB-053","7892000000053","Agua Mineral sin Gas 500ml","Cristal","Bebidas","Aguas","UN","Pasillo 9","400","150","1000","L-202653","6/15/2026","6/15/2027","0.9","1.8","Postobón","2 días","","","","","","","",""
"BEB-054","7892000000054","Agua Tónica Lata 350ml","Schweppes","Bebidas","Aguas Especiales","UN","Pasillo 9","120","40","300","L-202654","5/20/2026","5/20/2027","2.5","4.2","Femsa","3 días","","","","","","","",""
"BEB-055","7892000000055","Bebida Isotónica Mandarina 500ml","Gatorade","Bebidas","Deportivas","UN","Pasillo 9","90","30","200","L-202655","6/1/2026","12/1/2026","3.5","5.9","PepsiCo","3 días","","","","","","","",""
"BEB-056","7892000000056","Cerveza Clara Lata 355ml","Corona","Bebidas","Alcohólicas - Cervezas","UN","Pasillo 10","500","200","1500","L-202656","6/10/2026","12/10/2026","2.3","3.49","Grupo Modelo","2 días","","","","","","","",""
"BEB-057","7892000000057","Cerveza Lata 355ml","Modelo Especial","Bebidas","Alcohólicas - Cervezas","UN","Pasillo 10","450","180","1200","L-202657","6/12/2026","12/12/2026","2.4","3.59","Grupo Modelo","2 días","","","","","","","",""
"BEB-058","7892000000058","Cerveza Malta Lata 355ml","Heineken","Bebidas","Alcohólicas - Cervezas","UN","Pasillo 10","300","100","800","L-202658","6/5/2026","12/5/2026","3.8","5.49","Heineken","2 días","","","","","","","",""
"BEB-059","7892000000059","Cerveza Malta Botella 330ml","Stella Artois","Bebidas","Alcohólicas - Cervezas","UN","Pasillo 10","150","50","400","L-202659","6/8/2026","12/8/2026","4.2","6.29","Ambev","2 días","","","","","","","",""
"BEB-060","7892000000060","Vino Tinto Seco Reservado 750ml","Concha Y Toro","Bebidas","Alcohólicas - Vinos","UN","Pasillo 10","60","20","150","L-202660","1/10/2025","Indeterminado","28","45.9","Importadora Sur","7 días","","","","","","","",""
"LAT-061","7893000000061","Leche UHT Entera 1L","Lala","Lácteos","Leches","UN","Pasillo 11","500","150","1000","L-202661","6/1/2026","10/1/2026","4.1","5.99","Grupo Lala","3 días","","","","","","","",""
"LAT-062","7893000000062","Leche UHT Descremada 1L","Alpura","Lácteos","Leches","UN","Pasillo 11","200","60","500","L-202662","6/5/2026","10/5/2026","4.2","6.1","Alpura","3 dias","","","","","","","",""
"LAT-063","7893000000063","Leche UHT Deslactosada 1L","Dos Pinos","Lácteos","Leches Especiales","UN","Pasillo 11","150","50","300","L-202663","6/10/2026","10/10/2026","5.5","8.29","Dos Pinos","3 días","","","","","","","",""
"LAT-064","7893000000064","Leche UHT Entera 1L","Parmalat","Lácteos","Leches","UN","Pasillo 11","300","100","700","L-202664","6/12/2026","10/12/2026","4.3","6.29","Lactalis","3 días","","","","","","","",""
"LAT-065","7893000000065","Leche Fermentada 6x80g","Yakult","Lácteos","Yogures","UN","Refrigerador 2","80","30","200","L-202665","6/10/2026","7/10/2026","7","10.9","Yakult","2 días","","","","","","","",""
"LAT-066","7893000000066","Yogur de Fresa / Frutilla 170g","Danone","Lácteos","Yogures","UN","Refrigerador 2","120","40","300","L-202666","6/12/2026","7/12/2026","1.8","2.99","Danone","2 días","","","","","","","",""
"LAT-067","7893000000067","Yogur Natural 170g","Nestlé","Lácteos","Yogures","UN","Refrigerador 2","90","30","200","L-202667","6/13/2026","7/13/2026","2","3.29","Nestlé","2 días","","","","","","","",""
"LAT-068","7893000000068","Yogur Bebible / Licuado 220g","Yoplait","Lácteos","Yogures Especiales","UN","Refrigerador 2","100","35","250","L-202668","6/14/2026","7/14/2026","2.5","4.1","Sigma Alimentos","2 días","","","","","","","",""
"LAT-069","7893000000069","Mantequilla con Sal 200g","Gloria","Lácteos","Mantequillas","UN","Refrigerador 3","60","20","150","L-202669","6/1/2026","9/1/2026","9.5","14.9","Gloria S.A.","4 días","","","","","","","",""
"LAT-070","7893000000070","Mantequilla sin Sal 200g","La Serenísima","Lácteos","Mantequillas","UN","Refrigerador 3","40","15","100","L-202670","6/5/2026","9/5/2026","9.5","14.9","Mastellone","4 días","","","","","","","",""
"LAT-071","7893000000071","Margarina con Sal 500g","Primavera","Lácteos","Margarinas","UN","Refrigerador 3","150","50","400","L-202671","6/10/2026","12/10/2026","5.5","8.5","Unilever","3 días","","","","","","","",""
"LAT-072","7893000000072","Margarina sin Sal 500g","Iberia","Lácteos","Margarinas","UN","Refrigerador 3","80","30","200","L-202672","6/12/2026","12/12/2026","5.5","8.5","Upfield","3 días","","","","","","","",""
"LAT-073","7893000000073","Queso Crema Tradicional / Untable 200g","Philadelphia","Lácteos","Quesos Untables","UN","Refrigerador 3","120","40","300","L-202673","6/10/2026","9/10/2026","5.8","8.99","Mondelez","3 días","","","","","","","",""
"LAT-074","7893000000074","Queso Amarillo Untable 200g","La Villita","Lácteos","Quesos Untables","UN","Refrigerador 3","60","20","150","L-202674","6/11/2026","9/11/2026","6.2","9.5","Sigma Alimentos","3 días","","","","","","","",""
"LAT-075","7893000000075","Queso Manchego en Rebanadas 150g","Fud","Lácteos","Quesos","UN","Refrigerador 4","100","30","250","L-202675","6/10/2026","8/10/2026","6.5","10.9","Sigma Alimentos","3 días","","","","","","","",""
"LAT-076","7893000000076","Queso Amarillo / Americano Rebanadas 150g","Nochebuena","Lácteos","Quesos","UN","Refrigerador 4","80","25","200","L-202676","6/12/2026","8/12/2026","6.8","11.5","Sigma Alimentos","3 días","","","","","","","",""
"LAT-077","7893000000077","Queso Fresco / Panela 500g","Zwan","Lácteos","Quesos","UN","Refrigerador 4","40","15","100","L-202677","6/14/2026","7/4/2026","18","28.9","Qualtia","2 días","","","","","","","",""
"LAT-078","7893000000078","Queso Parmesano Rallado 50g","Los Volcanes","Lácteos","Quesos","UN","Pasillo 11","150","50","350","L-202678","5/1/2026","11/1/2026","3.5","5.99","Lácteos Volcanes","4 días","","","","","","","",""
"LAT-079","7893000000079","Queso Oaxaca / Mozzarella Trozo","Fud","Lácteos","Quesos","KG","Refrigerador 4","15","5","40","L-202679","6/1/2026","10/1/2026","45","79.9","Sigma Alimentos","3 días","","","","","","","",""
"LAT-080","7893000000080","Crema de Leche Ácida / Sour Cream 200g","Lala","Lácteos","Quesos Untables","UN","Refrigerador 3","50","20","120","L-202680","6/10/2026","8/10/2026","6","9.5","Grupo Lala","3 días","","","","","","","",""
"FRI-081","7894000000081","Jamón Cocido en Rebanadas 200g","Fud","Carnes Frías","Embutidos","UN","Refrigerador 4","120","40","300","L-202681","6/10/2026","8/10/2026","5.5","8.99","Sigma Alimentos","3 días","","","","","","","",""
"FRI-082","7894000000082","Jamón Cocido Pieza","Zwan","Carnes Frías","Embutidos","KG","Vitrina Fríos","25","10","60","L-202682","6/5/2026","9/5/2026","22","35.9","Qualtia","3 días","","","","","","","",""
"FRI-083","7894000000083","Fiambre de Cerdo Pieza","San Rafael","Carnes Frías","Embutidos","KG","Vitrina Fríos","30","10","80","L-202683","6/1/2026","9/1/2026","14","22.9","Sigma Alimentos","3 días","","","","","","","",""
"FRI-084","7894000000084","Mortadela Ahumada en Rebanadas 200g","Paladini","Carnes Frías","Embutidos","UN","Refrigerador 4","100","30","250","L-202684","6/12/2026","8/12/2026","3.8","5.99","Frigorífico Paladini","3 días","","","","","","","",""
"FRI-085","7894000000085","Mortadela Premium Pieza","Chimex","Carnes Frías","Embutidos","KG","Vitrina Fríos","20","8","50","L-202685","6/5/2026","9/5/2026","18","29.9","Sigma Alimentos","3 días","","","","","","","",""
"FRI-086","7894000000086","Pechuga de Pavo en Rebanadas 150g","Fud","Carnes Frías","Embutidos Especiales","UN","Refrigerador 4","60","20","150","L-202686","6/10/2026","8/10/2026","8.5","14.5","Sigma Alimentos","3 días","","","","","","","",""
"FRI-087","7894000000087","Salami Italiano en Rebanadas 100g","San Rafael","Carnes Frías","Embutidos Especiales","UN","Refrigerador 4","50","15","120","L-202687","6/8/2026","9/8/2026","9","15.9","Sigma Alimentos","3 días","","","","","","","",""
"FRI-088","7894000000088","Salchicha para Hot Dog a Granel","Zwan","Carnes Frías","Salchichas","KG","Vitrina Fríos","50","20","120","L-202688","6/10/2026","8/10/2026","8","12.9","Qualtia","2 días","","","","","","","",""
"FRI-089","7894000000089","Salchicha Viena Paquete 500g","Fud","Carnes Frías","Salchichas Especiales","UN","Refrigerador 4","30","10","80","L-202689","6/5/2026","8/5/2026","18","28.9","Sigma Alimentos","4 días","","","","","","","",""
"FRI-090","7894000000090","Chorizo / Salchicha Ahumada","Paladini","Carnes Frías","Embutidos","KG","Vitrina Fríos","40","15","100","L-202690","6/1/2026","9/1/2026","16","26.9","Frigorífico Paladini","3 días","","","","","","","",""
"FRI-091","7894000000091","Chorizo Grueso Especial","Zwan","Carnes Frías","Embutidos","KG","Vitrina Fríos","25","10","60","L-202691","6/5/2026","9/5/2026","18.5","29.9","Qualtia","3 días","","","","","","","",""
"FRI-092","7894000000092","Tocino en Cubos / Panceta 200g","Fud","Carnes Frías","Tocino","UN","Refrigerador 4","80","25","200","L-202692","6/10/2026","9/10/2026","7.5","12.9","Sigma Alimentos","3 días","","","","","","","",""
"FRI-093","7894000000093","Tocino Pieza","Chimex","Carnes Frías","Tocino","KG","Vitrina Fríos","30","10","80","L-202693","6/5/2026","9/5/2026","24","39.9","Sigma Alimentos","3 días","","","","","","","",""
"FRI-094","7894000000094","Masa Fresca para Empanadas 500g","La Salteña","Carnes Frías","Masas Frescas","UN","Refrigerador 4","60","20","150","L-202694","6/10/2026","7/10/2026","5.5","8.9","General Mills","3 días","","","","","","","",""
"FRI-095","7894000000095","Ñoquis / Pasta Fresca 500g","Rana","Carnes Frías","Masas Frescas","UN","Refrigerador 4","40","15","100","L-202695","6/12/2026","7/12/2026","6.5","10.5","Giovanni Rana","3 días","","","","","","","",""
"FRI-096","7894000000096","Arepas Congeladas / Tequeños 400g","Goya","Carnes Frías","Congelados","UN","Congelador 1","100","30","250","L-202696","5/1/2026","11/1/2026","12","19.9","Goya Foods","4 días","","","","","","","",""
"FRI-097","7894000000097","Lasaña Boloñesa Congelada 600g","Stouffer's","Carnes Frías","Platos Listos","UN","Congelador 1","80","25","200","L-202697","5/15/2026","11/15/2026","11.5","18.9","Nestlé","4 días","","","","","","","",""
"FRI-098","7894000000098","Carne para Hamburguesa 672g","SuKarne","Carnes Frías","Congelados","UN","Congelador 1","120","40","300","L-202698","5/20/2026","11/20/2026","15","24.9","SuKarne","4 días","","","","","","","",""
"FRI-099","7894000000099","Papas Fritas Congeladas 2kg","McCain","Carnes Frías","Congelados","UN","Congelador 2","60","20","150","L-202699","5/10/2026","5/10/2027","25","39.9","McCain","5 días","","","","","","","",""
"FRI-100","7894000000100","Helado de Crema 1,5L","Holanda","Carnes Frías","Helados","UN","Congelador 3","50","15","120","L-202700","6/1/2026","6/1/2027","16","26.9","Unilever","4 días","","","","","","","",""
"ACO-101","7895000000101","Corte de Res - Bife / Lomo Fino","SuKarne","Carnicería","Carne de Res","KG","Vitrina Carnes","80","30","200","L-INT101","6/12/2026","6/19/2026","32","49.9","SuKarne","1 día","","","","","","","",""
"ACO-102","7895000000102","Corte de Res - Cuadril / Cadera","Carnes Ideal","Carnicería","Carne de Res","KG","Vitrina Carnes","60","20","150","L-INT102","6/13/2026","6/20/2026","30","46.9","Frigorífico Ideal","1 día","","","","","","","",""
"ACO-103","7895000000103","Corte de Res - Picaña / Punta Trasera","SuKarne","Carnicería","Carne de Res Premium","KG","Refrigerador Carnes","30","10","80","L-INT103","6/1/2026","8/1/2026","65","99.9","SuKarne","2 días","","","","","","","",""
"ACO-104","7895000000104","Corte de Res - Pulpa Blanda","Carnes Ideal","Carnicería","Carne de Res","KG","Vitrina Carnes","90","30","220","L-INT104","6/13/2026","6/20/2026","28","42.9","Frigorífico Ideal","1 día","","","","","","","",""
"ACO-105","7895000000105","Carne Molida de Res","Frigorífico Local","Carnicería","Carne de Res","KG","Vitrina Carnes","40","15","100","L-INT105","6/15/2026","6/17/2026","26","39.9","Frigorífico Regional","1 día","","","","","","","",""
"ACO-106","7895000000106","Carne de Res para Estofar / Lagarto","SuKarne","Carnicería","Carne de Res","KG","Vitrina Carnes","50","15","120","L-INT106","6/13/2026","6/20/2026","18","27.9","SuKarne","1 día","","","","","","","",""
"ACO-107","7895000000107","Pechuga de Pollo Fresca Bandeja 1kg","Bachoco","Carnicería","Aves","UN","Refrigerador Aves","80","25","200","L-202707","6/12/2026","6/19/2026","12.5","19.9","Bachoco","2 días","","","","","","","",""
"ACO-108","7895000000108","Pierna y Muslo de Pollo Fresco","Mac Pollo","Carnicería","Aves","KG","Vitrina Aves","100","30","250","L-INT108","6/13/2026","6/20/2026","8.5","13.9","Mac Pollo","2 días","","","","","","","",""
"ACO-109","7895000000109","Pollo Entero Congelado","Bachoco","Carnicería","Aves","KG","Congelador Carnes","150","50","400","L-202709","5/1/2026","5/1/2027","7","11.9","Bachoco","3 días","","","","","","","",""
"ACO-110","7895000000110","Tiras / Filete de Pechuga Congelado 1kg","Mac Pollo","Carnicería","Aves","UN","Congelador Carnes","70","20","180","L-202710","5/15/2026","5/15/2027","14","22.9","Mac Pollo","3 días","","","","","","","",""
"ACO-111","7895000000111","Pierna de Cerdo con Hueso","Kowi","Carnicería","Carne de Cerdo","KG","Vitrina Carnes","60","20","150","L-INT111","6/12/2026","6/19/2026","14","21.9","Grupo Kowi","2 días","","","","","","","",""
"ACO-112","7895000000112","Costilla de Cerdo Fresca","SuKarne","Carnicería","Carne de Cerdo","KG","Vitrina Carnes","40","15","100","L-INT112","6/13/2026","6/20/2026","19","29.9","SuKarne","2 días","","","","","","","",""
"ACO-113","7895000000113","Lomo de Cerdo Fresco","Fud","Carnicería","Carne de Cerdo","KG","Vitrina Carnes","35","10","90","L-INT113","6/13/2026","6/20/2026","18.5","28.9","Sigma Alimentos","2 días","","","","","","","",""
"ACO-114","7895000000114","Chorizo Parrillero de Cerdo","Fud","Carnicería","Embutidos","KG","Vitrina Carnes","120","40","300","L-INT114","6/10/2026","6/25/2026","13.5","21.9","Sigma Alimentos","2 días","","","","","","","",""
"ACO-115","7895000000115","Chorizo de Pollo","Bachoco","Carnicería","Embutidos","KG","Vitrina Carnes","60","20","150","L-INT115","6/11/2026","6/26/2026","12","19.9","Bachoco","2 días","","","","","","","",""
"ACO-116","7895000000116","Filete de Tilapia Congelado 500g","Dolores","Carnicería","Pescadería","UN","Congelador Carnes","80","25","200","L-202716","4/1/2026","4/1/2027","22","35.9","Pinsa","4 días","","","","","","","",""
"ACO-117","7895000000117","Rodajas de Cazón / Pescado Congelado 500g","Tuny","Carnicería","Pescadería","UN","Congelador Carnes","40","15","100","L-202717","4/15/2026","4/15/2027","18","28.9","Grupomar","4 días","","","","","","","",""
"ACO-118","7895000000118","Bacalao Desmenuzado 500g","El Rey","Carnicería","Pescadería","UN","Congelador Carnes","30","10","80","L-202718","3/10/2026","3/10/2027","25","42.9","Importadora Rey","5 días","","","","","","","",""
"ACO-119","7895000000119","Camarón Pelado Congelado 400g","Dolores","Carnicería","Mariscos","UN","Congelador Carnes","25","10","70","L-202719","4/20/2026","4/20/2027","35","55.9","Pinsa","5 días","","","","","","","",""
"ACO-120","7895000000120","Corazones de Pollo Congelados 1kg","Bachoco","Carnicería","Aves Menudencias","UN","Congelador Carnes","50","15","120","L-202720","5/10/2026","5/10/2027","16","25.9","Bachoco","3 días","","","","","","","",""
"HOR-121","2000000000121","Tomate Rojo","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 1","50","20","150","N/A","6/13/2026","6/20/2026","4.5","8.99","Mercado Central","1 día","","","","","","","",""
"HOR-122","2000000000122","Cebolla Blanca","S/M","Frutas y Verduras","Verduras","KG","Exhibidor 1","80","30","200","N/A","6/10/2026","7/1/2026","3.2","6.5","Mercado Central","1 día","","","","","","","",""
